,gen,class,primary_cat,sub_cat,infr_desc,infr_date,harm,sex,party,dup,year,event_unique_id,subject,notes,
33,Male,2008,Alcohol,NA,possession of a keg,10/8/07,0,0,1,0,2008,2007-10-08_Alcohol_0_0_1_0,1,,
34,Male,2009,Alcohol,NA,hosted party at which alcohol was made available to minors,9/19/07,0,0,1,1,2008,2007-09-19_Alcohol_0_0_1_1,1,,
35,Male,2008,Alcohol,NA,providing alcohol to underage persons,9/19/07,0,0,1,1,2008,2007-09-19_Alcohol_0_0_1_1,1,,
36,Male,2008,Alcohol,NA,driving while intoxicated,9/23/07,1,0,1,0,2008,2007-09-23_Alcohol_1_0_1_0,1,,
37,Female,2008,Disorderly Conduct,NA,ran from the princeton borough police following a golf cart mishap,9/23/07,0,0,0,0,2008,2007-09-23_Disorderly Conduct_0_0_0_0,1,,
38,Female,2010,Alcohol,NA,serving to underage persons,9/7/07,0,0,1,0,2008,2007-09-07_Alcohol_0_0_1_0,1,,
39,Male,2011,Alcohol,NA,serving to minors,9/9/07,0,0,1,1,2008,2007-09-09_Alcohol_0_0_1_1,1,,
40,Male,2011,Alcohol,NA,serving to underage students,9/9/07,0,0,1,1,2008,2007-09-09_Alcohol_0_0_1_1,2,,
41,Male,2011,Alcohol,NA,serving to underage students,9/9/07,0,0,1,1,2008,2007-09-09_Alcohol_0_0_1_1,3,,
42,Male,2009,Drugs,NA,"failure to cooperate with university officials on 2 occasions, used profanity to university contractors, possession of marijuana and possession of drug paraphernalia",10/16/07,0,0,0,0,2008,2007-10-16_Drugs_0_0_0_0,1,,
43,Male,2008,Alcohol,NA,making alcohol available to persons under 21,10/8/07,0,0,1,1,2008,2007-10-08_Alcohol_0_0_1_1,1,,
44,Male,2008,Alcohol,NA,possession of alcohol under 21/ fake id,10/8/07,0,0,1,1,2008,2007-10-08_Alcohol_0_0_1_1,1,,
45,Female,2010,Drugs,NA,possession of marijuana,9/28/07,0,0,1,1,2008,2007-09-28_Drugs_0_0_1_1,1,,
46,Male,2010,Drugs,NA,possession of drug paraphernalia,9/28/07,0,0,1,1,2008,2007-09-28_Drugs_0_0_1_1,2,,
47,Male,2011,Theft,NA,left the u-store with items he had not paid for,9/19/07,0,0,0,0,2008,2007-09-19_Theft_0_0_0_0,1,,
48,Male,2010,Alcohol,NA,possession of alcohol by a minor,10/6/07,0,0,1,1,2008,2007-10-06_Alcohol_0_0_1_1,1,,
49,Male,2010,Alcohol,NA,underage possession w/ intent to serve,10/6/07,0,0,1,1,2008,2007-10-06_Alcohol_0_0_1_1,1,,
50,Male,2009,Alcohol,NA,serving,10/5/07,0,0,1,0,2008,2007-10-05_Alcohol_0_0_1_0,1,,
51,Male,2011,Alcohol,NA,serving to underage students,10/18/07,0,0,1,0,2008,2007-10-18_Alcohol_0_0_1_0,2,,
52,Male,2010,Alcohol,NA,serving alcohol and smoking in dorm,10/8/07,0,0,1,0,2008,2007-10-08_Alcohol_0_0_1_0,3,,
53,Male,2008,Alcohol,NA,making alcohol available to persons under 21,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,1,,
54,Male,2009,Alcohol,NA,serving to minors,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,2,,
55,Male,2008,Alcohol,NA,making alcohol available to persons under 21,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,3,"could also be a repeat of subject 1, hard to tell",
56,Male,2009,Alcohol,NA,serving to minors,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,4,"could also be a repeat of subject 2, hard to tell",
57,Male,2009,Alcohol,NA,serving to a minor,10/11/07,0,0,1,0,2008,2007-10-11_Alcohol_0_0_1_0,1,,
58,Female,2008,Alcohol,NA,making alcohol available to persons under the age of 21,10/28/07,0,0,1,1,2008,2007-10-28_Alcohol_0_0_1_1,1,,
59,Female,2008,Alcohol,NA,making alcohol available to persons under 21,10/28/07,0,0,1,1,2008,2007-10-28_Alcohol_0_0_1_1,2,,
60,Female,2009,Dishonesty/Fraud,NA,non-cooperation w/ public safety,10/28/07,0,0,1,1,2008,2007-10-28_Dishonesty/Fraud_0_0_1_1,1,,
61,Female,2010,Dishonesty/Fraud,NA,failed to cooperate with a ps officer,10/28/07,0,0,1,1,2008,2007-10-28_Dishonesty/Fraud_0_0_1_1,2,,
62,Female,2009,Dishonesty/Fraud,NA,dishonesty and non-cooperation w/ university officials,10/28/07,0,0,1,1,2008,2007-10-28_Dishonesty/Fraud_0_0_1_1,3,,
63,Female,2011,Dishonesty/Fraud,NA,did not cooperate with public safety when they stopped her w/ an open container,10/28/07,0,0,1,1,2008,2007-10-28_Dishonesty/Fraud_0_0_1_1,4,,
64,Female,2010,Dishonesty/Fraud,NA,was uncooperative w/ public safety,10/28/07,0,0,1,1,2008,2007-10-28_Dishonesty/Fraud_0_0_1_1,5,,
65,Female,2010,Disorderly Conduct,NA,hid from public safety when they responded to a party,10/28/07,0,0,1,1,2008,2007-10-28_Disorderly Conduct_0_0_1_1,1,,
66,Female,2011,Disorderly Conduct,NA,hid from public safety in a closet,10/28/07,0,0,1,1,2008,2007-10-28_Disorderly Conduct_0_0_1_1,2,,
67,Female,2011,Disorderly Conduct,NA,hid from public safety in a closet,10/28/07,0,0,1,1,2008,2007-10-28_Disorderly Conduct_0_0_1_1,3,,
68,Male,2008,Alcohol,NA,making alcohol available to persons under 21,10/21/07,0,0,1,1,2008,2007-10-21_Alcohol_0_0_1_1,1,,
69,Male,2008,Alcohol,NA,making alcohol available to persons under the age of 21,10/21/07,0,0,1,1,2008,2007-10-21_Alcohol_0_0_1_1,2,,
70,Male,2009,Health and Safety,NA,smoking in dormitory room,10/28/07,0,0,0,0,2008,2007-10-28_Health and Safety_0_0_0_0,1,,
71,Male,2010,Dishonesty/Fraud,NA,lied to public safety officers,9/7/07,0,0,0,0,2008,2007-09-07_Dishonesty/Fraud_0_0_0_0,2,,
72,Male,2010,Drugs,NA,possession and sharing of marijuana,10/19/07,0,0,1,1,2008,2007-10-19_Drugs_0_0_1_1,1,,
73,Male,2011,Drugs,NA,possession and sharing of marijuana,10/19/07,0,0,1,1,2008,2007-10-19_Drugs_0_0_1_1,2,,
74,Male,2009,Alcohol,NA,serving to minors,10/11/07,0,0,1,1,2008,2007-10-11_Alcohol_0_0_1_1,1,,
75,Male,2009,Alcohol,NA,serving to minors,10/11/07,0,0,1,1,2008,2007-10-11_Alcohol_0_0_1_1,2,,
76,Male,2011,Disorderly Conduct,NA,urinated into a cup in the princeton u-store,10/7/07,1,0,0,0,2008,2007-10-07_Disorderly Conduct_1_0_0_0,1,,
77,Male,2009,Alcohol,NA,possession of 2 kegs,11/5/07,0,0,1,0,2008,2007-11-05_Alcohol_0_0_1_0,1,,
78,Male,2010,Disorderly Conduct,NA,"failed to cooperate with ps, ran from ps, physically resisted ps and in doing so broke an officer's nose",11/6/07,1,0,0,0,2008,2007-11-06_Disorderly Conduct_1_0_0_0,1,,
79,Male,2009,Drugs,NA,possession of marijuana cigarette,11/5/07,0,0,0,0,2008,2007-11-05_Drugs_0_0_0_0,1,,
80,Male,2010,Disorderly Conduct,NA,urinating in public,10/27/07,0,0,1,0,2008,2007-10-27_Disorderly Conduct_0_0_1_0,1,,
81,Male,2011,Theft,NA,taking and using another students id w/o permission,10/12/07,0,0,0,0,2008,2007-10-12_Theft_0_0_0_0,1,,
82,Male,2012,Theft,NA,stole a chair from frist,9/23/07,0,0,0,0,2008,2007-09-23_Theft_0_0_0_0,1,,
83,Female,2011,Alcohol,NA,serving alcohol to underage students,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,1,,
84,Female,2011,Alcohol,NA,serving alcohol to underage persons,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,2,,
85,Female,2011,Alcohol,NA,serving alcohol to underage students,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,3,,
86,Female,2011,Alcohol,NA,serving to underage students,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,4,,
87,Female,2011,Disorderly Conduct,NA,unauthorized entry into cap and gown club through a window and failure to return after police arrived,10/14/07,0,0,1,1,2008,2007-10-14_Disorderly Conduct_0_0_1_1,1,,
88,Male,2011,Disorderly Conduct,NA,climbed through a window at the cap and gown club,11/20/07,0,0,1,0,2008,2007-11-20_Disorderly Conduct_0_0_1_0,1,,
89,Male,2011,Disorderly Conduct,NA,unauthorized entry into cap and gown club through a window,10/14/07,0,0,1,1,2008,2007-10-14_Disorderly Conduct_0_0_1_1,2,2nd person for event described on row 88,
90,Male,2010,Disorderly Conduct,NA,"wrestling in a hallway while intoxicated, damaging a railing and a wall",10/28/07,1,0,1,0,2008,2007-10-28_Disorderly Conduct_1_0_1_0,1,,
91,Female,2009,Dishonesty/Fraud,NA,non-cooperation w/ dps,10/30/07,0,0,0,0,2008,2007-10-30_Dishonesty/Fraud_0_0_0_0,1,,
92,Female,2008,Alcohol,NA,making alcohol available to people under 21,11/10/07,0,0,1,0,2008,2007-11-10_Alcohol_0_0_1_0,1,,
93,Male,2009,Alcohol,NA,serving to underage persons,11/8/07,0,0,1,0,2008,2007-11-08_Alcohol_0_0_1_0,1,,
94,Male,2008,Disorderly Conduct,NA,failure to cooperate with uhs staff and public safety,9/21/07,0,0,0,0,2008,2007-09-21_Disorderly Conduct_0_0_0_0,1,,
95,Male,2008,Alcohol,NA,providing alcohol to a person under the age of 21,11/19/07,0,0,1,0,2008,2007-11-19_Alcohol_0_0_1_0,1,,
96,Female,2011,Alcohol,NA,minor in possession of alcohol,11/19/07,0,0,0,0,2008,2007-11-19_Alcohol_0_0_0_0,1,,
97,Female,2009,Alcohol,NA,serving to minors,11/4/07,0,0,1,1,2008,2007-11-04_Alcohol_0_0_1_1,1,,
98,Female,2009,Alcohol,NA,serving to minors,11/4/07,0,0,1,1,2008,2007-11-04_Alcohol_0_0_1_1,2,,
99,Female,2009,Alcohol,NA,serving to minors,11/4/07,0,0,1,1,2008,2007-11-04_Alcohol_0_0_1_1,3,,
100,Female,2009,Alcohol,NA,serving to minors,11/30/07,0,0,1,1,2008,2007-11-30_Alcohol_0_0_1_1,1,,
101,Female,2009,Alcohol,NA,serving to minors,11/30/07,0,0,1,1,2008,2007-11-30_Alcohol_0_0_1_1,2,,
102,Female,2009,Alcohol,NA,serving to minors,11/30/07,0,0,1,1,2008,2007-11-30_Alcohol_0_0_1_1,3,,
103,Male,2009,Alcohol,NA,serving to minors,12/1/07,0,0,1,0,2008,2007-12-01_Alcohol_0_0_1_0,1,,
104,Male,2009,Alcohol,NA,serving to minors,11/29/07,0,0,1,1,2008,2007-11-29_Alcohol_0_0_1_1,1,,
105,Male,2009,Alcohol,NA,serving to minors,11/29/07,0,0,1,1,2008,2007-11-29_Alcohol_0_0_1_1,2,,
106,Male,2010,Alcohol,NA,serving to minors,11/17/07,0,0,1,0,2008,2007-11-17_Alcohol_0_0_1_0,1,,
107,Male,2010,Alcohol,NA,serving to minors,10/21/07,0,0,1,0,2008,2007-10-21_Alcohol_0_0_1_0,1,,
108,Male,2012,Dishonesty/Fraud,NA,failure to cooperate w/ ps,10/21/07,0,0,0,0,2008,2007-10-21_Dishonesty/Fraud_0_0_0_0,1,,
109,Male,2011,Drugs,NA,smoking marijuana,10/13/07,0,0,0,0,2008,2007-10-13_Drugs_0_0_0_0,1,,
110,Male,2010,Alcohol,NA,possession of a keg,11/22/07,0,0,1,0,2008,2007-11-22_Alcohol_0_0_1_0,1,,
111,Male,2012,Theft,NA,used princeton name w/o permission in creation of an online store,10/27/07,0,0,0,0,2008,2007-10-27_Theft_0_0_0_0,1,,
112,Male,2009,Disorderly Conduct,NA,"student found naked in hallway, pounding on his own door to be let in; used hostile language and profanity with dps",12/7/07,0,1,0,0,2008,2007-12-07_Disorderly Conduct_0_1_0_0,1,,
113,Male,2012,Sexual Misconduct,NA,violated policies regarding sexual harassment and respect for others by sending an obscene and harassing email to piirs seminar students.,11/27/07,1,1,0,0,2008,2007-11-27_Sexual Misconduct_1_1_0_0,1,,
114,Male,2011,Alcohol,NA,minor in possession of alcohol,11/17/07,0,0,1,1,2008,2007-11-17_Alcohol_0_0_1_1,1,,
115,Male,2011,Alcohol,NA,"minor in possession of alcohol, making alcohol available to a minor",11/17/07,0,0,1,1,2008,2007-11-17_Alcohol_0_0_1_1,2,,
116,Male,2011,Alcohol,NA,serving to minors,11/3/07,0,0,1,1,2008,2007-11-03_Alcohol_0_0_1_1,1,,
117,Male,2012,Alcohol,NA,serving to underage persons,11/3/07,0,0,1,1,2008,2007-11-03_Alcohol_0_0_1_1,2,,
118,Male,2011,Health and Safety,NA,discharged fire extinguisher,11/3/07,0,0,0,0,2008,2007-11-03_Health and Safety_0_0_0_0,1,,
119,Male,2010,Alcohol,NA,possession of a keg,11/4/07,0,0,1,0,2008,2007-11-04_Alcohol_0_0_1_0,1,,
120,Male,2010,Alcohol,NA,open container of alcohol,11/18/07,0,0,1,1,2008,2007-11-18_Alcohol_0_0_1_1,1,,
121,Male,2010,Alcohol,NA,hosting a drinking game and serving to minors,11/18/07,0,0,1,1,2008,2007-11-18_Alcohol_0_0_1_1,1,,
122,Male,2011,Theft,NA,took a laptop from another student's room w/o permission,10/14/07,1,0,0,0,2008,2007-10-14_Theft_1_0_0_0,1,,
123,Male,2008,Alcohol,NA,serving to minors,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,1,,
124,Male,2008,Alcohol,NA,serving to minors,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,2,,
125,Male,2008,Alcohol,NA,serving to minors,10/20/07,0,0,1,1,2008,2007-10-20_Alcohol_0_0_1_1,3,,
126,Male,2011,Alcohol,NA,serving to minors and serving to prospective students,12/7/07,0,0,1,0,2008,2007-12-07_Alcohol_0_0_1_0,1,,
127,Male,2011,Harassment/Respect for Others,NA,sent a threatening email.,1/19/08,1,0,0,0,2008,2008-01-19_Harassment/Respect for Others_1_0_0_0,1,,
128,Male,2011,Disorderly Conduct,NA,public urination and failure to cooperate w/ ps officers,12/14/07,0,0,1,0,2008,2007-12-14_Disorderly Conduct_0_0_1_0,1,,
129,Male,2010,Disorderly Conduct,NA,threatened another student while intoxicated.,11/21/07,1,0,1,0,2008,2007-11-21_Disorderly Conduct_1_0_1_0,1,,
130,Male,2010,Disorderly Conduct,NA,got into a scuffle w/ and threatened to fight another person at the wawa,12/13/07,1,0,0,0,2008,2007-12-13_Disorderly Conduct_1_0_0_0,1,,
131,Male,2009,Disorderly Conduct,NA,"driving an mtv in a reckless manner, unauthorized use of that mtv when he allowed 3 other students to ride in the vehicle",11/21/07,1,0,0,0,2008,2007-11-21_Disorderly Conduct_1_0_0_0,1,,
132,Female,2009,Disorderly Conduct,NA,belligerent and combative w/ staff at uhs and umcp,12/8/07,0,0,0,0,2008,2007-12-08_Disorderly Conduct_0_0_0_0,1,,
133,Male,2009,Dishonesty/Fraud,NA,threatening others and dishonest in matters; false reports,1/28/08,1,0,0,0,2008,2008-01-28_Dishonesty/Fraud_1_0_0_0,1,,
134,Male,2011,Alcohol,NA,serving alcohol to minors,1/1/08,0,0,1,1,2008,2008-01-01_Alcohol_0_0_1_1,1,,
135,Male,2010,Alcohol,NA,serving alcohol to minors,1/1/08,0,0,1,1,2008,2008-01-01_Alcohol_0_0_1_1,2,,
136,Male,2010,Dishonesty/Fraud,NA,non-cooperation w/ ps officer,1/1/08,0,0,1,1,2008,2008-01-01_Dishonesty/Fraud_0_0_1_1,1,,
137,Male,2010,Alcohol,NA,"hosting, excessive drinking",12/8/07,0,0,1,1,2008,2007-12-08_Alcohol_0_0_1_1,1,,
138,Male,2010,Alcohol,NA,"hosting, excessive drinking",12/8/07,0,0,1,1,2008,2007-12-08_Alcohol_0_0_1_1,2,,
139,Male,2010,Alcohol,NA,participating in a drinking game,12/10/07,0,0,1,0,2008,2007-12-10_Alcohol_0_0_1_0,1,,
140,Male,2009,Alcohol,NA,"serving to minors, possession of a marijuana pipe",12/14/07,0,0,1,1,2008,2007-12-14_Alcohol_0_0_1_1,1,,
141,Male,2009,Alcohol,NA,"serving to minors, possession of marijuana pipe",12/14/07,0,0,1,1,2008,2007-12-14_Alcohol_0_0_1_1,2,,
142,Male,2008,Alcohol,NA,"serving to minors, possession of marijuana pipe",12/14/07,0,0,1,1,2008,2007-12-14_Alcohol_0_0_1_1,3,,
143,Male,2008,Dishonesty/Fraud,NA,dishonesty and non-cooperation w/ public safety,12/14/07,0,0,1,1,2008,2007-12-14_Dishonesty/Fraud_0_0_1_1,1,,
144,Male,2010,Disorderly Conduct,NA,non-compliance w/ and obstruction of a ps officer,12/14/07,0,0,1,1,2008,2007-12-14_Disorderly Conduct_0_0_1_1,1,,
145,Male,2009,Alcohol,NA,purchased alcohol and gave it to a minor in witherspoon,1/10/08,0,0,0,0,2008,2008-01-10_Alcohol_0_0_0_0,1,,
146,Male,2010,Theft,NA,"misappropriation of property, specifically hiding of laptops as a prank",10/12/07,0,0,0,0,2008,2007-10-12_Theft_0_0_0_0,1,,
147,Male,2011,Alcohol,NA,particpated in a drinking game,12/13/07,0,0,1,0,2008,2007-12-13_Alcohol_0_0_1_0,1,,
148,Male,2009,Health and Safety,NA,found on the roof of robertson hall,1/10/08,1,0,0,0,2008,2008-01-10_Health and Safety_1_0_0_0,1,,
149,Female,2009,Health and Safety,NA,found on the roof of robertson hall,1/10/08,1,0,0,0,2008,2008-01-10_Health and Safety_1_0_0_0,2,,
150,Male,2010,Disorderly Conduct,NA,uttering a profane word out of a cab and walking down the middle of the street,1/20/08,0,0,0,0,2008,2008-01-20_Disorderly Conduct_0_0_0_0,1,,
151,Male,2008,Alcohol,NA,hosted a party where alcohol was made available and participated in a drinking game.,12/13/07,0,0,1,1,2008,2007-12-13_Alcohol_0_0_1_1,1,,
152,Male,2009,Alcohol,NA,participating in drinking games,12/13/07,0,0,1,1,2008,2007-12-13_Alcohol_0_0_1_1,2,,
153,Male,2012,Theft,NA,misues of electronic/network resources,1/1/08,0,0,0,0,2008,2008-01-01_Theft_0_0_0_0,1,,
154,Male,2008,Alcohol,NA,possession of an open container in a public space,11/22/07,0,0,1,0,2008,2007-11-22_Alcohol_0_0_1_0,1,,
155,Male,2008,Health and Safety,NA,smoking in dorm room on 2 occasions,11/22/07,0,0,0,0,2008,2007-11-22_Health and Safety_0_0_0_0,1,,
156,Male,2008,Dishonesty/Fraud,NA,repeatedly interfered with an interview w/ public safety,12/9/07,0,0,0,0,2008,2007-12-09_Dishonesty/Fraud_0_0_0_0,1,,
157,Male,2008,Alcohol,NA,possession of a keg,12/23/07,0,0,1,0,2008,2007-12-23_Alcohol_0_0_1_0,1,,
158,Female,2009,Drugs,NA,making cocaine available to another student in march 2006 just before withdrawal from princeton,3/1/06,0,0,1,0,2008,2006-03-01_Drugs_0_0_1_0,1,,
159,Male,2008,Alcohol,NA,serving to persons under the age of 21,12/13/07,0,0,1,0,2008,2007-12-13_Alcohol_0_0_1_0,1,,
160,Female,2009,Assault,NA,inadvertently  struck another student during a verbal altercation.,12/18/07,1,0,0,0,2008,2007-12-18_Assault_1_0_0_0,1,,
161,Male,2008,Property Damage & Vandalism,NA,destruction of property in that he broke a window while under the influence of alcohol at the princeton theological seminary,12/8/07,0,0,1,1,2008,2007-12-08_Property Damage & Vandalism_0_0_1_1,1,,
162,Male,2008,Alcohol,NA,serving/making alcohol available to minors,12/8/07,0,0,1,1,2008,2007-12-08_Alcohol_0_0_1_1,1,,
163,Female,2010,Theft,NA,shoflifted or attempted to shoplift merchandise from local stores totaling $2640,10/27/07,0,0,0,0,2008,2007-10-27_Theft_0_0_0_0,1,,
164,Male,2008,Property Damage & Vandalism,NA,smashing china from cloister inn in university parking lot on several occasions throught the fall semester while under the influence of alcohol,12/17/07,0,0,1,0,2008,2007-12-17_Property Damage & Vandalism_0_0_1_0,1,,
165,Male,2011,Alcohol,NA,minor in possession in a common area,2/3/08,0,0,0,0,2008,2008-02-03_Alcohol_0_0_0_0,1,,
166,Male,2010,Harassment/Respect for Others,NA,sent vulgar and objectively offensive email to fellow students during piirs seminar in hanoi.,7/12/07,1,0,0,0,2008,2007-07-12_Harassment/Respect for Others_1_0_0_0,1,,
167,Male,2009,Alcohol,NA,minor in possession in a common area,2/9/08,0,0,1,0,2008,2008-02-09_Alcohol_0_0_1_0,1,,
168,Male,2009,Alcohol,NA,purchased alcohol at community liquor on witherspoon and gave it to underage friend.,2/9/08,0,0,1,0,2008,2008-02-09_Alcohol_0_0_1_0,2,,
169,Male,2009,Drugs,NA,possession of marijuana,2/9/08,0,0,0,0,2008,2008-02-09_Drugs_0_0_0_0,1,,
170,Male,2009,Drugs,NA,possession of marijuana and drug paraphernalia,2/9/08,0,0,0,0,2008,2008-02-09_Drugs_0_0_0_0,1,,
171,Male,2008,Alcohol,NA,serving to minors,1/15/08,0,0,1,1,2008,2008-01-15_Alcohol_0_0_1_1,1,,
172,Male,2009,Alcohol,NA,serving to minors,1/15/08,0,0,1,1,2008,2008-01-15_Alcohol_0_0_1_1,2,,
173,Female,2008,Alcohol,NA,serving to minors,1/29/08,0,0,1,1,2008,2008-01-29_Alcohol_0_0_1_1,1,,
174,Female,2008,Alcohol,NA,serving to minors,1/29/08,0,0,1,1,2008,2008-01-29_Alcohol_0_0_1_1,2,,
175,Female,2008,Alcohol,NA,serving to minors,1/29/08,0,0,1,1,2008,2008-01-29_Alcohol_0_0_1_1,3,,
176,Female,2012,Theft,NA,possession of stolen property in the form of a wooden eagle belonging to the terrace club,12/9/07,0,0,1,0,2008,2007-12-09_Theft_0_0_1_0,1,,
177,Female,2012,Dishonesty/Fraud,NA,"dishonest in university matters when informing a professor, in the course of requesting a grade change, that mother had recently passed away and you had attended her funeral, when in fact the person who passed away was a fam",2/26/08,0,0,0,0,2008,2008-02-26_Dishonesty/Fraud_0_0_0_0,1,,
178,Female,2008,Alcohol,NA,making alcohol available / serving to minors,2/10/08,0,0,1,0,2008,2008-02-10_Alcohol_0_0_1_0,1,,
179,Female,2010,Drugs,NA,smoking cigarettes and marijuana in dorm,1/14/08,0,0,1,0,2008,2008-01-14_Drugs_0_0_1_0,1,,
180,Female,2008,Drugs,NA,"smoking in dorm, use of marijuana on university property, providing inaccurate info to a ps officer",1/14/08,0,0,1,0,2008,2008-01-14_Drugs_0_0_1_0,2,,
181,Male,2011,Alcohol,NA,"seerving to minors, dishonesty/noncooperation w/ dps/police",2/7/08,0,0,1,1,2008,2008-02-07_Alcohol_0_0_1_1,1,,
182,Male,2011,Dishonesty/Fraud,NA,providing a false name to police officer,2/7/08,0,0,1,1,2008,2008-02-07_Dishonesty/Fraud_0_0_1_1,1,,
