"","X","gen","class","primary_cat","sub_cat","infr_desc","infr_date","harm","sex","party","dup","year","event_unique_id","subject","notes","X.1","null","deans_date","month","semester","term","month_year"
"21",17,"Male",2012,"Alcohol",NA,"serving alcohol to underage students",2007-09-12,"0","0","1",1,"2007","2007-09-12_Alcohol_0_0_1_1",2,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"22",18,"Male",2011,"Alcohol",NA,"serving alcohol to underage persons",2007-09-12,"0","0","1",1,"2007","2007-09-12_Alcohol_0_0_1_1",3,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"23",19,"Male",2008,"Disorderly Conduct",NA,"uncooperative and combative w/ uhs staff",2007-09-12,"1","0","0",0,"2007","2007-09-12_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"24",25,"Male",2010,"Disorderly Conduct",NA,"urinated on prospect ave. and ran from borough police while intoxicated",2007-09-12,"1","0","1",0,"2007","2007-09-12_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"25",15,"Male",2009,"Property Damage & Vandalism",NA,"threw paintballs at parked car and at dorm walls",2007-09-13,"1","0","0",0,"2007","2007-09-13_Property Damage & Vandalism_1_0_0_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"26",21,"Male",2009,"Dishonesty/Fraud",NA,"deliberately misled preceptor about when a final paper was completed",2007-09-16,"0","0","0",0,"2007","2007-09-16_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"27",34,"Male",2009,"Alcohol",NA,"hosted party at which alcohol was made available to minors",2007-09-19,"0","0","1",1,"2007","2007-09-19_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"28",35,"Male",2008,"Alcohol",NA,"providing alcohol to underage persons",2007-09-19,"0","0","1",1,"2007","2007-09-19_Alcohol_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"29",47,"Male",2011,"Theft",NA,"left the u-store with items he had not paid for",2007-09-19,"0","0","0",0,"2007","2007-09-19_Theft_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"30",94,"Male",2008,"Disorderly Conduct",NA,"failure to cooperate with uhs staff and public safety",2007-09-21,"0","0","0",0,"2007","2007-09-21_Disorderly Conduct_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"31",36,"Male",2008,"Alcohol",NA,"driving while intoxicated",2007-09-23,"1","0","1",0,"2007","2007-09-23_Alcohol_1_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"32",37,"Female",2008,"Disorderly Conduct",NA,"ran from the princeton borough police following a golf cart mishap",2007-09-23,"0","0","0",0,"2007","2007-09-23_Disorderly Conduct_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"33",82,"Male",2012,"Theft",NA,"stole a chair from frist",2007-09-23,"0","0","0",0,"2007","2007-09-23_Theft_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"34",45,"Female",2010,"Drugs",NA,"possession of marijuana",2007-09-28,"0","0","1",1,"2007","2007-09-28_Drugs_0_0_1_1",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"35",46,"Male",2010,"Drugs",NA,"possession of drug paraphernalia",2007-09-28,"0","0","1",1,"2007","2007-09-28_Drugs_0_0_1_1",2,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"36",29,"Male",2010,"Alcohol",NA,"serving to minors and possession of keg",2007-09-29,"0","0","1",0,"2007","2007-09-29_Alcohol_0_0_1_0",1,"",NA,"0","0","Sep","Fall","Fall 2007","Sep 2007"
"37",30,"Male",2008,"Dishonesty/Fraud",NA,"failure to be straightforward with public safety",2007-09-29,"0","0","0",0,"2007","2007-09-29_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"38",26,"Male",2008,"Drugs",NA,"possession of marijuana and drug paraphernalia",2007-09-30,"0","0","0",1,"2007","2007-09-30_Drugs_0_0_0_1",1,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"39",27,"Male",2008,"Drugs",NA,"possession of marijuana and drug paraphernalia",2007-09-30,"0","0","0",1,"2007","2007-09-30_Drugs_0_0_0_1",2,"",NA,"1","0","Sep","Fall","Fall 2007","Sep 2007"
"40",50,"Male",2009,"Alcohol",NA,"serving",2007-10-05,"0","0","1",0,"2007","2007-10-05_Alcohol_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"41",48,"Male",2010,"Alcohol",NA,"possession of alcohol by a minor",2007-10-06,"0","0","1",1,"2007","2007-10-06_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"42",49,"Male",2010,"Alcohol",NA,"underage possession w/ intent to serve",2007-10-06,"0","0","1",1,"2007","2007-10-06_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"43",76,"Male",2011,"Disorderly Conduct",NA,"urinated into a cup in the princeton u-store",2007-10-07,"1","0","0",0,"2007","2007-10-07_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"44",32,"Male",2010,"Disorderly Conduct",NA,"making a threatening remark regarding one of his professors",2007-10-08,"1","0","0",0,"2007","2007-10-08_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"45",33,"Male",2008,"Alcohol",NA,"possession of a keg",2007-10-08,"0","0","1",0,"2007","2007-10-08_Alcohol_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"46",43,"Male",2008,"Alcohol",NA,"making alcohol available to persons under 21",2007-10-08,"0","0","1",1,"2007","2007-10-08_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"47",44,"Male",2008,"Alcohol",NA,"possession of alcohol under 21/ fake id",2007-10-08,"0","0","1",1,"2007","2007-10-08_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"48",52,"Male",2010,"Alcohol",NA,"serving alcohol and smoking in dorm",2007-10-08,"0","0","1",0,"2007","2007-10-08_Alcohol_0_0_1_0",3,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"49",28,"Male",2008,"Dishonesty/Fraud",NA,"dishonesty w/ public safety",2007-10-11,"0","0","0",0,"2007","2007-10-11_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"50",57,"Male",2009,"Alcohol",NA,"serving to a minor",2007-10-11,"0","0","1",0,"2007","2007-10-11_Alcohol_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"51",74,"Male",2009,"Alcohol",NA,"serving to minors",2007-10-11,"0","0","1",1,"2007","2007-10-11_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"52",75,"Male",2009,"Alcohol",NA,"serving to minors",2007-10-11,"0","0","1",1,"2007","2007-10-11_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"53",81,"Male",2011,"Theft",NA,"taking and using another students id w/o permission",2007-10-12,"0","0","0",0,"2007","2007-10-12_Theft_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"54",146,"Male",2010,"Theft",NA,"misappropriation of property, specifically hiding of laptops as a prank",2007-10-12,"0","0","0",0,"2007","2007-10-12_Theft_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"55",109,"Male",2011,"Drugs",NA,"smoking marijuana",2007-10-13,"0","0","0",0,"2007","2007-10-13_Drugs_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"56",87,"Female",2011,"Disorderly Conduct",NA,"unauthorized entry into cap and gown club through a window and failure to return after police arrived",2007-10-14,"0","0","1",1,"2007","2007-10-14_Disorderly Conduct_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"57",89,"Male",2011,"Disorderly Conduct",NA,"unauthorized entry into cap and gown club through a window",2007-10-14,"0","0","1",1,"2007","2007-10-14_Disorderly Conduct_0_0_1_1",2,"2nd person for event described on row 88",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"58",122,"Male",2011,"Theft",NA,"took a laptop from another student's room w/o permission",2007-10-14,"1","0","0",0,"2007","2007-10-14_Theft_1_0_0_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"59",42,"Male",2009,"Drugs",NA,"failure to cooperate with university officials on 2 occasions, used profanity to university contractors, possession of marijuana and possession of drug paraphernalia",2007-10-16,"0","0","0",0,"2007","2007-10-16_Drugs_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"60",51,"Male",2011,"Alcohol",NA,"serving to underage students",2007-10-18,"0","0","1",0,"2007","2007-10-18_Alcohol_0_0_1_0",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"61",72,"Male",2010,"Drugs",NA,"possession and sharing of marijuana",2007-10-19,"0","0","1",1,"2007","2007-10-19_Drugs_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"62",73,"Male",2011,"Drugs",NA,"possession and sharing of marijuana",2007-10-19,"0","0","1",1,"2007","2007-10-19_Drugs_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"63",53,"Male",2008,"Alcohol",NA,"making alcohol available to persons under 21",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"64",54,"Male",2009,"Alcohol",NA,"serving to minors",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"65",55,"Male",2008,"Alcohol",NA,"making alcohol available to persons under 21",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",3,"could also be a repeat of subject 1, hard to tell",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"66",56,"Male",2009,"Alcohol",NA,"serving to minors",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",4,"could also be a repeat of subject 2, hard to tell",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"67",83,"Female",2011,"Alcohol",NA,"serving alcohol to underage students",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"68",84,"Female",2011,"Alcohol",NA,"serving alcohol to underage persons",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"69",85,"Female",2011,"Alcohol",NA,"serving alcohol to underage students",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",3,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"70",86,"Female",2011,"Alcohol",NA,"serving to underage students",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",4,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"71",123,"Male",2008,"Alcohol",NA,"serving to minors",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"72",124,"Male",2008,"Alcohol",NA,"serving to minors",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"73",125,"Male",2008,"Alcohol",NA,"serving to minors",2007-10-20,"0","0","1",1,"2007","2007-10-20_Alcohol_0_0_1_1",3,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"74",68,"Male",2008,"Alcohol",NA,"making alcohol available to persons under 21",2007-10-21,"0","0","1",1,"2007","2007-10-21_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"75",69,"Male",2008,"Alcohol",NA,"making alcohol available to persons under the age of 21",2007-10-21,"0","0","1",1,"2007","2007-10-21_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"76",107,"Male",2010,"Alcohol",NA,"serving to minors",2007-10-21,"0","0","1",0,"2007","2007-10-21_Alcohol_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"77",108,"Male",2012,"Dishonesty/Fraud",NA,"failure to cooperate w/ ps",2007-10-21,"0","0","0",0,"2007","2007-10-21_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"78",80,"Male",2010,"Disorderly Conduct",NA,"urinating in public",2007-10-27,"0","0","1",0,"2007","2007-10-27_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"79",111,"Male",2012,"Theft",NA,"used princeton name w/o permission in creation of an online store",2007-10-27,"0","0","0",0,"2007","2007-10-27_Theft_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"80",163,"Female",2010,"Theft",NA,"shoflifted or attempted to shoplift merchandise from local stores totaling $2640",2007-10-27,"0","0","0",0,"2007","2007-10-27_Theft_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"81",58,"Female",2008,"Alcohol",NA,"making alcohol available to persons under the age of 21",2007-10-28,"0","0","1",1,"2007","2007-10-28_Alcohol_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"82",59,"Female",2008,"Alcohol",NA,"making alcohol available to persons under 21",2007-10-28,"0","0","1",1,"2007","2007-10-28_Alcohol_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"83",60,"Female",2009,"Dishonesty/Fraud",NA,"non-cooperation w/ public safety",2007-10-28,"0","0","1",1,"2007","2007-10-28_Dishonesty/Fraud_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"84",61,"Female",2010,"Dishonesty/Fraud",NA,"failed to cooperate with a ps officer",2007-10-28,"0","0","1",1,"2007","2007-10-28_Dishonesty/Fraud_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"85",62,"Female",2009,"Dishonesty/Fraud",NA,"dishonesty and non-cooperation w/ university officials",2007-10-28,"0","0","1",1,"2007","2007-10-28_Dishonesty/Fraud_0_0_1_1",3,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"86",63,"Female",2011,"Dishonesty/Fraud",NA,"did not cooperate with public safety when they stopped her w/ an open container",2007-10-28,"0","0","1",1,"2007","2007-10-28_Dishonesty/Fraud_0_0_1_1",4,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"87",64,"Female",2010,"Dishonesty/Fraud",NA,"was uncooperative w/ public safety",2007-10-28,"0","0","1",1,"2007","2007-10-28_Dishonesty/Fraud_0_0_1_1",5,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"88",65,"Female",2010,"Disorderly Conduct",NA,"hid from public safety when they responded to a party",2007-10-28,"0","0","1",1,"2007","2007-10-28_Disorderly Conduct_0_0_1_1",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"89",66,"Female",2011,"Disorderly Conduct",NA,"hid from public safety in a closet",2007-10-28,"0","0","1",1,"2007","2007-10-28_Disorderly Conduct_0_0_1_1",2,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"90",67,"Female",2011,"Disorderly Conduct",NA,"hid from public safety in a closet",2007-10-28,"0","0","1",1,"2007","2007-10-28_Disorderly Conduct_0_0_1_1",3,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"91",70,"Male",2009,"Health and Safety",NA,"smoking in dormitory room",2007-10-28,"0","0","0",0,"2007","2007-10-28_Health and Safety_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"92",90,"Male",2010,"Disorderly Conduct",NA,"wrestling in a hallway while intoxicated, damaging a railing and a wall",2007-10-28,"1","0","1",0,"2007","2007-10-28_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","Oct","Fall","Fall 2007","Oct 2007"
"93",91,"Female",2009,"Dishonesty/Fraud",NA,"non-cooperation w/ dps",2007-10-30,"0","0","0",0,"2007","2007-10-30_Dishonesty/Fraud_0_0_0_0",1,"",NA,"1","0","Oct","Fall","Fall 2007","Oct 2007"
"94",116,"Male",2011,"Alcohol",NA,"serving to minors",2007-11-03,"0","0","1",1,"2007","2007-11-03_Alcohol_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"95",117,"Male",2012,"Alcohol",NA,"serving to underage persons",2007-11-03,"0","0","1",1,"2007","2007-11-03_Alcohol_0_0_1_1",2,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"96",118,"Male",2011,"Health and Safety",NA,"discharged fire extinguisher",2007-11-03,"0","0","0",0,"2007","2007-11-03_Health and Safety_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2007","Nov 2007"
"97",97,"Female",2009,"Alcohol",NA,"serving to minors",2007-11-04,"0","0","1",1,"2007","2007-11-04_Alcohol_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"98",98,"Female",2009,"Alcohol",NA,"serving to minors",2007-11-04,"0","0","1",1,"2007","2007-11-04_Alcohol_0_0_1_1",2,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"99",99,"Female",2009,"Alcohol",NA,"serving to minors",2007-11-04,"0","0","1",1,"2007","2007-11-04_Alcohol_0_0_1_1",3,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"100",119,"Male",2010,"Alcohol",NA,"possession of a keg",2007-11-04,"0","0","1",0,"2007","2007-11-04_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"101",77,"Male",2009,"Alcohol",NA,"possession of 2 kegs",2007-11-05,"0","0","1",0,"2007","2007-11-05_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"102",79,"Male",2009,"Drugs",NA,"possession of marijuana cigarette",2007-11-05,"0","0","0",0,"2007","2007-11-05_Drugs_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2007","Nov 2007"
"103",78,"Male",2010,"Disorderly Conduct",NA,"failed to cooperate with ps, ran from ps, physically resisted ps and in doing so broke an officer's nose",2007-11-06,"1","0","0",0,"2007","2007-11-06_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"104",93,"Male",2009,"Alcohol",NA,"serving to underage persons",2007-11-08,"0","0","1",0,"2007","2007-11-08_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"105",92,"Female",2008,"Alcohol",NA,"making alcohol available to people under 21",2007-11-10,"0","0","1",0,"2007","2007-11-10_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"106",191,"Male",2009,"Assault",NA,"assaulted another student by kicking him in the groin.",2007-11-15,"1","0","0",0,"2007","2007-11-15_Assault_1_0_0_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"107",106,"Male",2010,"Alcohol",NA,"serving to minors",2007-11-17,"0","0","1",0,"2007","2007-11-17_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"108",114,"Male",2011,"Alcohol",NA,"minor in possession of alcohol",2007-11-17,"0","0","1",1,"2007","2007-11-17_Alcohol_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"109",115,"Male",2011,"Alcohol",NA,"minor in possession of alcohol, making alcohol available to a minor",2007-11-17,"0","0","1",1,"2007","2007-11-17_Alcohol_0_0_1_1",2,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"110",120,"Male",2010,"Alcohol",NA,"open container of alcohol",2007-11-18,"0","0","1",1,"2007","2007-11-18_Alcohol_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"111",121,"Male",2010,"Alcohol",NA,"hosting a drinking game and serving to minors",2007-11-18,"0","0","1",1,"2007","2007-11-18_Alcohol_0_0_1_1",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"112",95,"Male",2008,"Alcohol",NA,"providing alcohol to a person under the age of 21",2007-11-19,"0","0","1",0,"2007","2007-11-19_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"113",96,"Female",2011,"Alcohol",NA,"minor in possession of alcohol",2007-11-19,"0","0","0",0,"2007","2007-11-19_Alcohol_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2007","Nov 2007"
"114",88,"Male",2011,"Disorderly Conduct",NA,"climbed through a window at the cap and gown club",2007-11-20,"0","0","1",0,"2007","2007-11-20_Disorderly Conduct_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"115",129,"Male",2010,"Disorderly Conduct",NA,"threatened another student while intoxicated.",2007-11-21,"1","0","1",0,"2007","2007-11-21_Disorderly Conduct_1_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"116",131,"Male",2009,"Disorderly Conduct",NA,"driving an mtv in a reckless manner, unauthorized use of that mtv when he allowed 3 other students to ride in the vehicle",2007-11-21,"1","0","0",0,"2007","2007-11-21_Disorderly Conduct_1_0_0_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"117",110,"Male",2010,"Alcohol",NA,"possession of a keg",2007-11-22,"0","0","1",0,"2007","2007-11-22_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"118",154,"Male",2008,"Alcohol",NA,"possession of an open container in a public space",2007-11-22,"0","0","1",0,"2007","2007-11-22_Alcohol_0_0_1_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
"119",155,"Male",2008,"Health and Safety",NA,"smoking in dorm room on 2 occasions",2007-11-22,"0","0","0",0,"2007","2007-11-22_Health and Safety_0_0_0_0",1,"",NA,"1","0","Nov","Fall","Fall 2007","Nov 2007"
"120",113,"Male",2012,"Sexual Misconduct",NA,"violated policies regarding sexual harassment and respect for others by sending an obscene and harassing email to piirs seminar students.",2007-11-27,"1","1","0",0,"2007","2007-11-27_Sexual Misconduct_1_1_0_0",1,"",NA,"0","0","Nov","Fall","Fall 2007","Nov 2007"
